no,new_filename,source_filename,note
1,base-frame-left.png,자동차_차체_골격_구조도.png,좌측 차체 골격 기준 이미지
2,base-frame-right.png,자동차_차체_골격_우측면_점검도.png,우측 차체 골격 기준 이미지
3,front-side-member-L.png,자동차_전방_사이드_멤버_구조_부품.png,전방 사이드 멤버 좌측 대응
4,front-side-member-R.png,자동차_전방_프레임_레일_구조_부품.png,전방 사이드 멤버 우측 대응
5,front-wheelhouse-L.png,은빛_블루_자동차_휠하우스_구조_부품.png,전방 휠하우스 좌측 대응
6,front-wheelhouse-R.png,자동차_우측_프런트_휠하우스_구조_부품_도면.png,전방 휠하우스 우측 대응
7,apron-panel-L.png,자동차_차체_휠하우스_구조_패널.png,에이프런 패널 좌측 대응
8,apron-panel-R.png,자동차_휠하우스_차체_구조_렌더링.png,에이프런 패널 우측 대응
9,dash-panel.png,자동차_방화벽_패널_구조_일러스트.png,대시 패널
10,radiator-support.png,자동차_라디에이터_서포트_프레임_렌더.png,라디에이터 서포트
11,rear-side-member-L.png,자동차_리어_사이드_멤버_구조_부품.png,리어 사이드 멤버 좌측 대응
12,rear-side-member-R.png,은빛_자동차_차체_리어_사이드_레일_구조_부품.png,리어 사이드 멤버 우측 대응
13,rear-wheelhouse-L.png,자동차_c필러_구조_패널_렌더링.png,가용 자료 중 리어 휠하우스 좌측에 가장 근접한 부위
14,rear-wheelhouse-R.png,자동차_c필러_내부_보강_패널_렌더링.png,가용 자료 중 리어 휠하우스 우측에 가장 근접한 부위
15,trunk-floor.png,63b3dbb0-924a-55b9-9601-a2a2aed2930f.png,트렁크 플로어 대응
16,rear-panel.png,자동차_후면_차체_패널_투명_렌더.png,리어 패널
17,center-floor.png,금속_자동차_바닥_패널_구조체.png,센터 플로어
18,rocker-panel-L.png,973097f1-7a77-58fc-afc4-0c74314a747f.png,가용 자료 중 로커 패널 좌측에 가장 근접한 부위
19,rocker-panel-R.png,9ba1e294-2e94-5eba-87ff-5aad880c6009.png,가용 자료 중 로커 패널 우측에 가장 근접한 부위
20,roof-rail.png,자동차_a필러_보강_빔_부품.png,가용 자료 중 루프 레일에 가장 근접한 부위
